符合條件商品
資料日期：2022年  8月 11日
策略,	03總結B
序號,	代碼,	商品,	成交,	漲幅%,	總量,	買,	賣,	主力連買,	融資連買,	外資連買,	自營連買,	投信連買,	借券連賣,	融券連賣,	主力連賣,	融資連賣,	外資連賣,	自營連賣,	投信連賣,	借券連買,	融券連買
執行時間：2022-08-11 22:32 符合檔數(1442)
55	,1342.TW,八貫,68.6,-0.29,128,0,0,0,0,0,0,0,0,0,1,4,1,0,0,2,0
56	,1402.TW,遠東新,30.1,0.84,6505,3,0,0,0,5,0,6,0,0,2,1,0,3,0,4,0
57	,1409.TW,新纖,19.05,1.87,2447,0,0,1,1,1,0,0,1,1,0,0,0,2,0,0,0
58	,1410.TW,南染,33.9,0.3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59	,1414.TW,東和,16.85,1.2,203,1,10,5,0,3,0,0,0,0,0,14,0,0,0,2,1
60	,1416.TW,廣豐,10.6,2.42,222,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,1
61	,1417.TW,嘉裕,10.4,0.97,313,1,0,3,0,5,0,0,0,0,0,3,0,0,0,0,0
62	,1418.TW,東華,16.15,0.62,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
63	,1419.TW,新紡,40.05,0.88,32,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
64	,1423.TW,利華,18.9,0.27,301,0,0,0,0,2,0,0,0,0,1,2,0,0,0,1,0
65	,1434.TW,福懋,26.75,0.38,1487,1,0,0,0,5,1,0,3,0,2,1,0,0,0,0,1
66	,1436.TW,華友聯,57.3,-0.69,68,0,5,0,0,0,0,0,0,0,0,1,9,2,0,1,3
67	,1437.TW,勤益控,24.9,0.61,50,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
68	,1438.TW,三地開發,32.6,0,71,0,0,0,2,0,0,0,0,0,4,0,2,0,0,0,0
69	,1439.TW,中和,19.9,0.76,11,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
70	,1440.TW,南紡,17.8,0.85,1903,0,0,0,1,0,1,0,1,3,2,0,1,0,0,0,0
71	,1442.TW,名軒,21.95,0,60,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0
72	,1443.TW,立益,16.8,0,99,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
73	,1444.TW,力麗,10.5,4.48,3779,1,0,1,0,5,1,0,2,0,0,1,0,0,0,0,0
74	,1445.TW,大宇,15.5,0,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75	,1446.TW,宏和,31.55,0.32,48,1,0,0,5,0,0,0,1,0,0,0,3,0,0,0,0
76	,1447.TW,力鵬,8.79,6.8,7159,1,0,0,0,5,0,0,1,0,1,1,0,2,0,0,3
77	,1449.TW,佳和,9.28,0.65,67,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
78	,1451.TW,年興,24,0,505,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0
79	,1452.TW,宏益,18.4,0,141,0,2,0,1,0,0,0,1,1,6,0,0,0,0,0,0
80	,1453.TW,大將,24.4,9.91,19862,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,2
81	,1454.TW,台富,13.95,1.45,262,2,0,0,2,6,1,0,0,0,4,0,0,0,0,0,0
82	,1455.TW,集盛,10.25,0.99,1006,0,6,0,3,0,1,0,0,1,10,0,3,0,0,1,0
83	,1456.TW,怡華,16.3,-2.1,93,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
84	,1457.TW,宜進,17.6,0.86,539,0,0,3,0,0,0,0,0,0,0,1,2,0,0,2,0
85	,1459.TW,聯發,9.75,0.52,382,0,0,0,0,0,0,0,0,1,2,1,1,0,0,2,0
86	,1460.TW,宏遠,7.53,2.87,952,1,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0
87	,1463.TW,強盛,14.2,2.16,459,0,0,1,1,2,0,0,1,0,0,0,0,2,0,0,0
88	,1464.TW,得力,14.6,0.69,307,0,0,1,1,0,0,0,0,0,0,0,1,2,0,1,0
89	,1465.TW,偉全,13.05,2.76,1033,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0
90	,1466.TW,聚隆,12.2,0.41,239,0,0,0,2,1,0,0,0,0,4,0,0,0,0,0,0
91	,1467.TW,南緯,11.75,-0.42,971,0,2,0,1,0,0,0,0,0,6,0,2,0,0,3,1
92	,1470.TW,大統新創,19.35,1.31,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
93	,1473.TW,台南,23,2.68,839,4,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0
94	,1474.TW,弘裕,12.05,1.69,257,2,0,1,6,0,0,0,0,0,0,0,1,0,0,0,0
95	,1475.TW,業旺,57.9,0.7,128,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0
96	,1476.TW,儒鴻,444,6.6,2465,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1
97	,1477.TW,聚陽,178.5,9.85,9855,2,0,1,0,1,1,6,1,0,0,3,0,0,0,0,1
98	,1503.TW,士電,62.9,0.96,428,2,0,0,1,6,1,0,0,0,1,0,0,0,0,2,0
99	,1504.TW,東元,28.8,1.77,1992,0,0,1,0,1,1,0,2,2,0,1,0,0,0,0,0
100	,1513.TW,中興電,62.9,2.28,32860,0,0,2,0,2,0,0,0,0,0,1,0,1,1,1,4
101	,1514.TW,亞力,32,-0.31,2557,0,0,0,2,0,0,0,2,3,1,0,1,2,0,0,0
102	,1515.TW,力山,31.3,1.79,561,0,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0
103	,1516.TW,川飛,24.05,0,47,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
104	,1517.TW,利奇,24.35,1.46,3360,0,0,0,0,1,1,0,0,2,2,1,0,0,0,2,0
105	,1519.TW,華城,36.3,-4.72,3286,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0
106	,1521.TW,大億,35.7,1.42,43,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
107	,1522.TW,堤維西,30.05,-4.6,28417,0,0,0,0,0,0,0,0,1,2,1,2,1,0,2,0
108	,1524.TW,耿鼎,25.45,-2.86,66123,0,0,0,1,0,1,0,0,1,1,0,1,0,0,3,0
109	,1525.TW,江申,60.5,1.68,115,0,0,0,4,0,0,0,1,0,1,0,1,0,0,0,0
110	,1526.TW,日馳,50.6,-0.78,3085,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0
111	,1527.TW,鑽全,43.25,-0.46,453,0,0,0,0,0,0,0,0,1,3,1,1,2,0,0,0
112	,1528.TW,恩德,10.35,-4.17,4964,0,0,0,0,1,0,0,0,1,1,1,0,2,0,1,0
113	,1529.TW,樂士,16.75,-0.59,544,0,0,0,1,0,0,0,3,1,1,0,1,0,0,0,0
114	,1530.TW,亞崴,30.6,0.33,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115	,1531.TW,高林股,14.25,2.15,165,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0
116	,1532.TW,勤美,29.55,0,59,1,0,0,1,5,1,0,0,0,3,0,0,0,0,1,0
117	,1533.TW,車王電,58.8,-0.34,538,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,2
118	,1535.TW,中宇,43.1,-0.23,34,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
119	,1536.TW,和大,77.6,0.13,1648,1,2,0,2,0,1,0,5,1,6,0,2,0,0,0,0
120	,1537.TW,廣隆,146.5,0.34,290,7,0,5,1,10,1,0,0,0,0,0,0,0,0,2,0
121	,1539.TW,巨庭,32.5,7.97,4235,0,0,2,0,0,0,0,0,0,0,3,1,1,0,0,0
122	,1540.TW,喬福,14.9,2.76,424,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0
123	,1541.TW,錩泰,37.7,-1.18,278,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0
124	,1558.TW,伸興,131.5,0,51,0,0,0,3,0,1,0,1,0,3,0,2,0,0,0,0
125	,1560.TW,中砂,157,3.97,11812,0,0,2,1,2,1,2,0,0,0,0,0,0,0,2,2
126	,1565.TW,精華,264.5,0.76,90,0,0,0,1,0,0,0,0,0,4,0,4,2,0,4,0
127	,1568.TW,倉佑,28.05,-1.75,3470,0,0,0,0,0,1,0,1,4,2,1,3,0,0,0,0
128	,1569.TW,濱川,26.5,2.71,1676,0,0,4,0,2,2,0,2,0,0,1,0,0,0,0,1
129	,1570.TW,力肯,17.35,0,354,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0
130	,1580.TW,新麥,91.6,-0.22,36,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
131	,1582.TW,信錦,67,0.75,203,9,0,7,1,7,0,0,7,0,0,0,0,0,0,0,3
132	,1583.TW,程泰,60.4,1.51,19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
133	,1584.TW,精剛,21.6,-2.04,3095,0,0,0,2,0,0,0,4,2,2,0,2,0,0,0,0
134	,1586.TW,和勤,37.7,0.13,295,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
135	,1587.TW,吉茂,26.25,-1.69,403,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
136	,1589.TW,永冠-KY,54.9,0,159,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1
137	,1590.TW,亞德客-KY,828,2.22,321,0,0,1,1,3,0,0,3,0,0,0,0,0,0,0,0
138	,1591.TW,駿吉-KY,19.6,3.16,547,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
139	,1593.TW,祺驊,61.2,9.87,180,0,0,2,2,3,0,0,0,0,0,0,0,0,0,1,1
140	,1595.TW,川寶,36.25,3.57,81,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0
141	,1597.TW,直得,72.2,-0.55,43,2,0,0,6,3,0,0,0,0,1,0,0,0,0,4,1
142	,1598.TW,岱宇,38.8,-0.77,76,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,3
143	,1599.TW,宏佳騰,45.25,0.11,287,1,0,0,0,5,0,0,0,0,1,2,0,1,0,0,0
144	,1603.TW,華電,26.6,0.38,219,0,0,0,0,0,3,0,0,0,4,3,2,0,0,0,0
145	,1604.TW,聲寶,27.45,0.73,278,2,0,1,0,6,0,0,0,0,0,1,0,2,0,1,0
146	,1605.TW,華新,32.25,1.9,23875,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,1
147	,1608.TW,華榮,14.7,0.34,395,2,0,5,0,5,1,0,0,0,0,4,0,0,0,0,1
148	,1609.TW,大亞,22.1,-0.67,3498,0,0,0,1,0,0,0,2,1,1,0,1,1,0,0,0
149	,1611.TW,中電,17.45,0.87,1503,0,8,0,2,0,3,0,0,2,8,0,8,0,0,2,0
150	,1612.TW,宏泰,16.75,1.21,732,2,0,1,0,6,0,0,4,1,0,2,0,0,0,0,0
151	,1614.TW,三洋電,36.1,0.42,103,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0
152	,1615.TW,大山,31.35,-1.42,165,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0
153	,1617.TW,榮星,15.2,1,34,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0
154	,1618.TW,合機,12.2,0,119,0,0,0,0,0,2,0,0,0,1,0,4,0,0,1,0
155	,1626.TW,艾美特-KY,19.7,9.75,1649,0,0,2,4,1,0,0,1,0,0,0,0,2,0,0,1
156	,1701.TW,中化,21.35,0.95,396,2,0,5,1,5,0,0,0,0,0,0,0,0,0,2,0
157	,1702.TW,南僑,45.5,-0.55,148,1,6,0,0,1,5,0,0,0,1,2,0,0,0,10,0
158	,1707.TW,葡萄王,133.5,1.52,200,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,0
159	,1708.TW,東鹼,46.9,-1.37,5278,0,0,0,0,1,1,0,1,2,2,1,0,0,0,0,0
160	,1709.TW,和益,25.05,0.6,1672,0,0,0,3,0,0,0,0,1,1,0,2,1,0,1,0
161	,1710.TW,東聯,17.05,1.19,1221,0,2,0,0,2,0,0,1,0,6,2,0,3,0,0,1
162	,1711.TW,永光,20.25,1.25,1803,4,0,5,1,7,2,0,4,0,0,0,0,0,0,0,0
163	,1712.TW,興農,35.55,0.14,2095,25,1,10,0,23,1,0,1,0,0,5,0,0,0,0,2
164	,1713.TW,國化,24,0.84,67,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0
165	,1714.TW,和桐,9.33,-0.53,2518,0,0,0,0,0,2,0,0,1,1,0,1,0,0,1,0
166	,1717.TW,長興,32.3,0.31,1679,3,0,5,0,5,5,0,2,2,0,4,0,0,1,0,0
167	,1718.TW,中纖,7.94,1.79,3463,1,0,0,0,5,1,0,1,1,1,3,0,0,0,0,0
168	,1720.TW,生達,45.9,0.55,367,0,0,0,1,0,0,0,0,0,2,0,2,2,0,1,0
169	,1721.TW,三晃,16.1,2.55,1671,1,1,2,0,5,0,0,1,0,0,5,0,0,0,0,1
170	,1722.TW,台肥,65.5,0.77,1908,0,1,3,0,0,1,0,0,0,0,3,2,0,0,1,5
171	,1723.TW,中碳,116,1.31,912,2,0,2,0,1,1,0,6,0,0,3,0,0,0,0,0
172	,1725.TW,元禎,24.1,-2.03,1135,0,0,0,1,2,1,0,0,1,1,0,0,0,0,1,0
173	,1726.TW,永記,72.4,-0.28,18,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
174	,1727.TW,中華化,31,0,667,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0
175	,1730.TW,花仙子,57.2,0.18,23,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
176	,1731.TW,美吾華,17.85,-0.28,98,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0
177	,1732.TW,毛寶,29.35,0.86,370,0,5,0,0,3,0,0,0,2,2,9,0,0,0,0,0
178	,1733.TW,五鼎,27.25,1.68,524,0,4,2,0,0,1,0,0,0,0,8,1,0,0,0,0
179	,1734.TW,杏輝,28.55,0,517,1,0,5,1,0,0,0,1,0,0,0,1,0,0,0,0
180	,1735.TW,日勝化,14.05,0,10,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
181	,1736.TW,喬山,54,-2.53,396,0,0,0,4,1,0,0,1,1,1,0,0,2,0,0,0
182	,1737.TW,臺鹽,34.35,0.15,250,0,0,4,0,0,1,0,0,0,0,2,1,0,0,0,0
183	,1742.TW,台蠟,20.7,0.73,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
184	,1752.TW,南光,36.5,0.41,109,1,1,1,0,5,1,0,0,0,0,5,0,0,0,1,0
185	,1760.TW,寶齡富錦,114,-1.3,2295,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0
186	,1762.TW,中化生,56.1,-3.61,1108,0,0,0,1,0,1,0,0,1,2,0,1,0,0,2,0
187	,1773.TW,勝一,141.5,0.35,157,0,0,0,0,0,0,0,0,0,2,1,2,4,0,1,0
188	,1776.TW,展宇,19.45,0.52,25,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
189	,1777.TW,生泰,67.7,1.5,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
190	,1783.TW,和康生,41.9,1.7,232,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0
191	,1784.TW,訊聯,40.9,-0.12,52,1,0,5,0,0,0,0,0,0,0,0,1,0,0,3,0
192	,1785.TW,光洋科,37.1,-0.13,1809,0,0,0,1,0,0,0,0,1,2,0,1,0,0,1,0
193	,1786.TW,科妍,41.9,-1.18,60,0,0,0,1,1,1,0,1,0,3,0,0,0,0,0,0
194	,1788.TW,杏昌,157,0.32,32,0,3,0,0,2,0,0,0,0,7,1,0,0,0,0,0
195	,1789.TW,神隆,25.6,0.39,1061,0,0,3,0,3,0,0,1,1,0,1,0,0,0,0,0
196	,1795.TW,美時,143,-3.38,9011,0,0,0,3,0,0,0,0,0,1,0,1,1,1,4,2
197	,1796.TW,金穎生技,47.2,2.83,51,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
198	,1802.TW,台玻,17.55,1.74,2290,0,0,2,0,2,0,0,1,0,0,1,0,2,0,0,1
199	,1806.TW,冠軍,9.37,0.54,396,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,2
200	,1808.TW,潤隆,67,2.29,208,0,1,0,0,0,0,0,0,0,1,3,1,0,0,5,0
201	,1809.TW,中釉,12.6,-0.79,672,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0
202	,1810.TW,和成,10.9,0.46,1175,1,0,0,0,5,0,0,0,1,2,1,0,0,0,0,0
203	,1813.TW,寶利徠,19.95,0,83,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0
204	,1815.TW,富喬,12.35,-0.8,1105,0,0,0,3,0,0,0,0,0,3,0,2,0,0,1,3
205	,1817.TW,凱撒衛,34,0.74,42,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0
206	,1903.TW,士紙,55.9,0.9,22,1,0,0,1,5,0,0,0,0,0,0,0,0,0,2,0
207	,1904.TW,正隆,27.55,0.73,1548,4,0,5,1,5,1,0,6,0,0,0,0,0,0,0,2
208	,1905.TW,華紙,17.1,1.18,925,2,0,1,2,6,1,0,1,0,0,0,0,0,0,0,1
209	,1906.TW,寶隆,18.45,1.65,1822,0,3,2,0,1,0,0,0,0,0,1,0,0,0,7,2
210	,1907.TW,永豐餘,23.7,2.38,1196,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,2
211	,1909.TW,榮成,14.85,1.37,1319,0,0,1,3,1,0,0,0,0,0,0,0,2,0,2,1
212	,2002.TW,中鋼,28.45,1.61,28286,1,2,1,0,1,5,0,1,0,0,3,0,0,2,0,6
213	,2006.TW,東和鋼鐵,53,2.32,1503,15,0,1,0,1,19,4,0,1,0,3,0,0,0,1,0
214	,2007.TW,燁興,11.5,1.32,1279,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,2
215	,2008.TW,高興昌,16.8,0.3,30,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0
216	,2009.TW,第一銅,26.65,1.33,841,0,0,0,0,1,0,0,1,1,3,1,0,2,0,0,0
217	,2010.TW,春源,16,1.59,329,0,0,3,0,3,1,0,0,0,0,1,0,0,0,2,0
218	,2012.TW,春雨,23.85,2.14,74,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
219	,2013.TW,中鋼構,58.5,0.17,263,1,0,0,0,3,0,0,5,4,1,3,0,4,0,0,0
220	,2014.TW,中鴻,25.2,0,10476,3,2,0,6,0,5,0,1,0,6,0,2,0,0,0,1
221	,2015.TW,豐興,66.2,1.07,183,1,5,0,0,1,0,5,0,0,9,0,0,0,0,1,0
222	,2017.TW,官田鋼,12.4,1.64,547,0,0,2,0,2,1,0,1,0,0,1,0,0,0,0,2
223	,2020.TW,美亞,23.95,0.63,157,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
224	,2023.TW,燁輝,15.65,1.29,1987,0,3,1,0,1,0,0,0,1,0,7,0,2,0,1,0
225	,2024.TW,志聯,19.3,0.52,72,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
226	,2027.TW,大成鋼,35.7,1.42,7012,1,0,2,5,2,1,0,2,0,0,0,0,0,0,0,2
227	,2028.TW,威致,22.95,0.22,509,0,0,3,1,1,0,0,0,0,0,0,0,0,0,2,3
228	,2029.TW,盛餘,24.65,0.41,416,3,0,6,0,5,0,0,0,0,0,4,0,2,0,0,1
229	,2030.TW,彰源,24.3,2.53,8725,1,0,0,5,0,1,0,1,0,1,0,2,0,0,0,2
230	,2031.TW,新光鋼,36.8,2.22,1620,1,0,5,0,2,1,1,0,0,0,1,0,0,0,0,1
231	,2032.TW,新鋼,18.6,0.54,341,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,1
