符合條件商品
資料日期：2022年 10月 31日
策略,	06突破6月均量
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/31),	區間漲幅%
執行時間：2022-11-01 22:21 符合檔數(369)
100	,2528.TW,皇普,16,7.74,205,14.85,7.74
101	,2530.TW,華建,17.7,-3.28,3041,18.3,-3.28
102	,2535.TW,達欣工,30,0.17,133,29.95,0.17
103	,2538.TW,基泰,11.25,3.21,410,10.9,3.21
104	,2539.TW,櫻花建,31.4,-0.16,366,31.45,-0.16
105	,2701.TW,萬企,12,0.42,60,11.95,0.42
106	,2706.TW,第一店,13.95,0.72,78,13.85,0.72
107	,2707.TW,晶華,180,0.56,252,179,0.56
108	,2722.TW,夏都,31.3,2.29,41,30.6,2.29
109	,2727.TW,王品,124,-0.8,118,125,-0.8
110	,2729.TW,瓦城,187.5,1.08,30,185.5,1.08
111	,2732.TW,六角,98.1,0.1,496,98,0.1
112	,2748.TW,雲品,45.2,1.35,209,44.6,1.35
113	,2753.TW,八方雲集,172.5,-1.71,406,175.5,-1.71
114	,2754.TW,亞洲藏壽司,107,1.9,209,105,1.9
115	,2809.TW,京城銀,30.85,0.49,1972,30.7,0.49
116	,2834.TW,臺企銀,12.05,0.84,27366,11.95,0.84
117	,2845.TW,遠東銀,10.55,-0.47,4528,10.6,-0.47
118	,2850.TW,新產,44.6,1.25,257,44.05,1.25
119	,2852.TW,第一保,14.15,0.71,194,14.05,0.71
120	,2867.TW,三商壽,5.44,-0.73,14906,5.48,-0.73
121	,2882.TW,國泰金,38.1,0.79,14064,37.8,0.79
122	,2884.TW,玉山金,23.4,0.86,12692,23.2,0.86
123	,2889.TW,國票金,11.05,-0.45,8801,11.1,-0.45
124	,2903.TW,遠百,18.1,0.56,457,18,0.56
125	,2904.TW,匯僑,17.75,0.57,21,17.65,0.57
126	,2905.TW,三商,14.3,1.06,230,14.15,1.06
127	,2913.TW,農林,20.55,0,273,20.55,0
128	,2915.TW,潤泰全,56.7,2.72,3916,55.2,2.72
129	,3008.TW,大立光,1845,-0.27,374,1850,-0.27
130	,3021.TW,鴻名,21.95,0.23,813,21.9,0.23
131	,3023.TW,信邦,253,1,312,250.5,1
132	,3025.TW,星通,20.85,1.46,396,20.55,1.46
133	,3027.TW,盛達,23.4,4.23,1944,22.45,4.23
134	,3035.TW,智原,146.5,3.17,24580,142,3.17
135	,3037.TW,欣興,125,0.4,23587,124.5,0.4
136	,3044.TW,健鼎,89.4,0.22,627,89.2,0.22
137	,3046.TW,建碁,52,6.12,43996,49,6.12
138	,3050.TW,鈺德,15.7,2.95,1598,15.25,2.95
139	,3086.TW,華義,74.6,-0.67,34,75.1,-0.67
140	,3089.TW,億杰,40.5,1.25,203,40,1.25
141	,3105.TW,穩懋,124,1.64,9160,122,1.64
142	,3128.TW,昇銳,29.85,9.94,6595,27.15,9.94
143	,3131.TW,弘塑,183,0.83,126,181.5,0.83
144	,3149.TW,正達,20.8,-0.48,1053,20.9,-0.48
145	,3189.TW,景碩,105,0.48,15234,104.5,0.48
146	,3207.TW,耀勝,47.3,3.96,3449,45.5,3.96
147	,3219.TW,倚強科,43,-0.92,14,43.4,-0.92
148	,3230.TW,錦明,14.8,2.07,426,14.5,2.07
149	,3236.TW,千如,22.15,0.91,202,21.95,0.91
150	,3260.TW,威剛,54.1,0.37,453,53.9,0.37
151	,3264.TW,欣銓,43.95,5.02,10278,41.85,5.02
152	,3272.TW,東碩,49,9.99,11187,44.55,9.99
153	,3289.TW,宜特,81.7,4.08,28474,78.5,4.08
154	,3296.TW,勝德,17.1,8.23,1583,15.8,8.23
155	,3349.TW,寶德,12.45,0,3,12.45,0
156	,3356.TW,奇偶,34.5,3.92,9038,33.2,3.92
157	,3373.TW,熱映,22.7,3.42,275,21.95,3.42
158	,3406.TW,玉晶光,302,0.5,3552,300.5,0.5
159	,3413.TW,京鼎,170,1.8,502,167,1.8
160	,3416.TW,融程電,80.4,0,139,80.4,0
161	,3443.TW,創意,493.5,1.23,11007,487.5,1.23
162	,3454.TW,晶睿,147,9.7,16694,134,9.7
163	,3498.TW,陽程,25.15,0.2,48,25.1,0.2
164	,3515.TW,華擎,99.2,1.22,1196,98,1.22
165	,3516.TW,亞帝歐,16.4,0,10,16.4,0
166	,3523.TW,迎輝,19.75,-0.25,80,19.8,-0.25
167	,3526.TW,凡甲,114.5,0.44,124,114,0.44
168	,3529.TW,力旺,1125,4.65,1446,1075,4.65
169	,3533.TW,嘉澤,782,0.77,589,776,0.77
170	,3545.TW,敦泰,68,-0.73,3719,68.5,-0.73
171	,3557.TW,嘉威,42.25,0.12,31,42.2,0.12
172	,3587.TW,閎康,139,1.09,2102,137.5,1.09
