符合條件商品
資料日期：2021年 12月  6日
策略,	02每日資料（大戶）
序號,	代碼,	商品,	成交,	漲幅%,	總量,	大戶持股比例
執行時間：2021-12-07 02:15 符合檔數(1743)
114	,1514.TW,亞力,23.25,-0.43,192,40.18
115	,1515.TW,力山,60.3,-4.13,2757,48.13
116	,1516.TW,川飛,23.35,-2.71,228,49.74
117	,1517.TW,利奇,27.1,-1.28,3487,45.02
118	,1519.TW,華城,34.9,-0.29,212,65.81
119	,1521.TW,大億,41.6,-0.48,40,60.02
120	,1522.TW,堤維西,19.15,0,179,55.47
121	,1524.TW,耿鼎,10.55,5.5,1745,47.08
122	,1525.TW,江申,59.4,0.17,15,81.69
123	,1526.TW,日馳,48.8,0.41,99,30.21
124	,1527.TW,鑽全,42.25,0.72,139,22.92
125	,1528.TW,恩德,11.2,3.23,1168,48.82
126	,1529.TW,樂士,23.3,8.12,18297,69.27
127	,1530.TW,亞崴,33.2,-0.3,7,74.92
128	,1531.TW,高林股,15.35,0.66,69,60.88
129	,1532.TW,勤美,32.05,-0.47,195,67.81
130	,1533.TW,車王電,57.7,1.94,176,52.43
131	,1535.TW,中宇,39.15,-0.63,14,76.05
132	,1536.TW,和大,90.5,-0.66,357,54.57
133	,1537.TW,廣隆,138.5,0,54,43.91
134	,1538.TW,正峰,10.95,-2.23,7,35.52
135	,1539.TW,巨庭,22.3,6.95,3040,58.1
136	,1540.TW,喬福,14.8,0.34,83,31
137	,1541.TW,錩泰,43.1,-0.23,2,80.56
138	,1558.TW,伸興,146,1.39,47,11.27
139	,1560.TW,中砂,89.5,-0.11,5057,45.55
140	,1565.TW,精華,305,0,39,19.33
141	,1568.TW,倉佑,20.7,-1.43,121,54.15
142	,1569.TW,濱川,24.95,-0.6,84,39.86
143	,1570.TW,力肯,26,7.66,5158,23.12
144	,1580.TW,新麥,104.5,0,64,35.6
145	,1582.TW,信錦,68.6,0.29,111,30.6
146	,1583.TW,程泰,61.3,-1.13,24,90.1
147	,1584.TW,精剛,17.6,0.57,461,65.4
148	,1586.TW,和勤,41,0.12,71,46.18
149	,1587.TW,吉茂,25.35,0.2,86,39.59
150	,1589.TW,永冠-KY,60.9,0,222,36.61
151	,1590.TW,亞德客-KY,844,-0.59,275,59.29
152	,1591.TW,駿吉-KY,14.75,0,5,49.11
153	,1593.TW,祺驊,84.3,1.57,28,19.08
154	,1595.TW,川寶,46.5,-2.62,520,47.41
155	,1597.TW,直得,85.8,-0.58,52,37.46
156	,1598.TW,岱宇,58.3,-2.02,630,50.5
157	,1599.TW,宏佳騰,43.4,0.12,91,57.52
158	,1603.TW,華電,26.65,0.19,94,82.11
159	,1604.TW,聲寶,29.5,0.17,330,52.4
160	,1605.TW,華新,26.3,0.19,3648,74.16
161	,1608.TW,華榮,21.4,0,553,61.23
162	,1609.TW,大亞,24,-0.41,2466,29.1
163	,1611.TW,中電,18.1,6.47,42002,54.27
164	,1612.TW,宏泰,25.1,0,951,55.3
165	,1614.TW,三洋電,36.45,0.28,36,72.62
166	,1615.TW,大山,32.1,0.31,34,79.93
