符合條件商品
資料日期：2021年 12月  6日
策略,	01每日資料
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融券使用率,	法人持股比例,	融資使用率,	投信持股比例
執行時間：2021-12-07 02:15 符合檔數(1451)
84	,1459.TW,聯發,13.25,0,208,0,1.88,0.62,0.08
85	,1463.TW,強盛,14.6,-1.35,106,0,2.43,5.49,0
86	,1464.TW,得力,15.2,-0.65,292,0,1.64,2.42,0.02
87	,1465.TW,偉全,12.25,0.41,42,0,0.5,19.35,0
88	,1466.TW,聚隆,15.25,0.33,66,0.04,1.39,18.89,0
89	,1467.TW,南緯,14.05,1.44,422,0,19.95,34.14,0
90	,1470.TW,大統新創,18,0,1,0,0.19,0.06,0
91	,1473.TW,台南,17.85,0,23,0,9.07,1.09,0
92	,1474.TW,弘裕,15.05,1.01,553,0.01,1.44,16.12,0
93	,1476.TW,儒鴻,593,0.34,570,0.03,43.34,0.81,1.23
94	,1477.TW,聚陽,240.5,1.48,520,0.06,31.66,2.7,3.54
95	,1503.TW,士電,52.5,-1.32,48,0,32.06,0.12,0
96	,1504.TW,東元,30.45,0.66,2064,0,23.08,1.1,0.16
97	,1507.TW,永大,64.4,0,422,0,13.7,0.03,0
98	,1513.TW,中興電,45.35,0.89,2266,0.19,9.06,16.65,0.48
99	,1514.TW,亞力,23.25,-0.43,192,0.01,8.69,5.6,0
100	,1515.TW,力山,60.3,-4.13,2757,0.4,8.22,18.94,0.37
101	,1516.TW,川飛,23.35,-2.71,228,0,0.56,30.28,0
102	,1517.TW,利奇,27.1,-1.28,3487,0.22,3.53,10.6,0
103	,1519.TW,華城,34.9,-0.29,212,0.32,6.71,6.87,0.29
104	,1521.TW,大億,41.6,-0.48,40,0,33.35,0.65,0
105	,1522.TW,堤維西,19.15,0,179,0.02,5.78,2.01,0.02
106	,1524.TW,耿鼎,10.55,5.5,1745,0.01,0.41,8.68,0
107	,1525.TW,江申,59.4,0.17,15,0.01,0.47,7.3,0
108	,1526.TW,日馳,48.8,0.41,99,0.2,3.64,27.44,0
109	,1527.TW,鑽全,42.25,0.72,139,0,9.3,6.04,0.02
110	,1528.TW,恩德,11.2,3.23,1168,0.01,2.98,10.99,0
111	,1529.TW,樂士,23.3,8.12,18297,0.57,6.61,34.35,0
112	,1530.TW,亞崴,33.2,-0.3,7,0,0.8,1.05,0
113	,1531.TW,高林股,15.35,0.66,69,0,2.51,2.84,0.25
114	,1532.TW,勤美,32.05,-0.47,195,0,11.89,3.06,0.21
115	,1533.TW,車王電,57.7,1.94,176,0.51,5.71,10.31,0
116	,1535.TW,中宇,39.15,-0.63,14,0,1.11,0.31,0
117	,1536.TW,和大,90.5,-0.66,357,0.14,13.53,7.22,0.84
118	,1537.TW,廣隆,138.5,0,54,0,18.87,0.78,0.27
119	,1539.TW,巨庭,22.3,6.95,3040,0.02,0.65,8.41,0
120	,1540.TW,喬福,14.8,0.34,83,0,0.42,1.33,0
121	,1541.TW,錩泰,43.1,-0.23,2,0,9.72,0.79,0
122	,1558.TW,伸興,146,1.39,47,0,8.31,2.67,0.22
123	,1560.TW,中砂,89.5,-0.11,5057,0.31,14.72,17.72,1.62
124	,1565.TW,精華,305,0,39,0.04,32.36,8.51,2.74
125	,1568.TW,倉佑,20.7,-1.43,121,0.01,1.57,6.02,0
126	,1569.TW,濱川,24.95,-0.6,84,0.01,2.31,10.47,0.01
127	,1570.TW,力肯,26,7.66,5158,1.66,5.31,31.57,0.85
128	,1580.TW,新麥,104.5,0,64,0,10.11,7.65,0.03
129	,1582.TW,信錦,68.6,0.29,111,0.25,12.69,4.59,0.03
130	,1583.TW,程泰,61.3,-1.13,24,0,0.25,0.12,0.04
131	,1584.TW,精剛,17.6,0.57,461,0.08,1.4,7,0
132	,1586.TW,和勤,41,0.12,71,0.02,1.92,65.57,0
133	,1587.TW,吉茂,25.35,0.2,86,0.04,21.51,6.27,0
134	,1589.TW,永冠-KY,60.9,0,222,0.07,5.91,23.33,0
135	,1590.TW,亞德客-KY,844,-0.59,275,0.06,82.04,0.98,0.56
136	,1591.TW,駿吉-KY,14.75,0,5,0,15.89,38.57,0
137	,1593.TW,祺驊,84.3,1.57,28,0,1.16,17.65,0
138	,1595.TW,川寶,46.5,-2.62,520,0.01,2.87,5.96,0
139	,1597.TW,直得,85.8,-0.58,52,0.02,4.62,6.23,0
140	,1598.TW,岱宇,58.3,-2.02,630,1.4,6.47,22.96,0
141	,1599.TW,宏佳騰,43.4,0.12,91,0,12.31,6.47,0
142	,1603.TW,華電,26.65,0.19,94,0.11,1.46,3.31,0
143	,1604.TW,聲寶,29.5,0.17,330,0.01,10.62,0.91,0.05
144	,1605.TW,華新,26.3,0.19,3648,0.09,25.61,4.36,0.16
145	,1608.TW,華榮,21.4,0,553,0.03,2.16,8.86,0.01
146	,1609.TW,大亞,24,-0.41,2466,0.09,7.53,12.7,0
147	,1611.TW,中電,18.1,6.47,42002,1.35,10.49,14.06,0
148	,1612.TW,宏泰,25.1,0,951,0.05,13.1,9.02,0.07
149	,1614.TW,三洋電,36.45,0.28,36,0,2.09,0.5,0
150	,1615.TW,大山,32.1,0.31,34,0,0.61,1.85,0
151	,1617.TW,榮星,18.05,0.28,77,0,21.45,1.51,0
152	,1618.TW,合機,14.6,2.46,692,0,1.66,13.23,0
153	,1626.TW,艾美特-KY,19.2,0.26,64,0,44.48,9.89,0
