符合條件商品
資料日期：2021年 12月  6日
策略,	05準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券,	法人
執行時間：2021-12-07 02:05 符合檔數(1393)
62	,1434.TW,福懋,28.95,-0.34,3668,0.41,0.59,0.48,0.44,0.38,0.41,0.57
63	,1436.TW,華友聯,53.7,-0.19,52,0.51,0.52,0.27,0,0.1,0.28,0.53
64	,1437.TW,勤益控,25.45,0.39,47,0.5,0.57,0.33,0,0,0.32,0.59
65	,1438.TW,三地開發,30.85,2.15,200,0.55,0.43,0.03,0,0.5,0.38,0.43
66	,1439.TW,中和,24.05,2.12,30,0.48,0.52,0.22,0,0.23,0.4,0.51
67	,1440.TW,南紡,22.85,-1.08,2543,0.55,0.55,0.63,0.33,0.28,0.48,0.59
68	,1442.TW,名軒,23.6,0,367,0.64,0.56,0.41,0,0.24,0.44,0.55
69	,1444.TW,力麗,11.05,0,1440,0.64,0.55,0.53,0.31,0.34,0.57,0.57
70	,1445.TW,大宇,15.7,0.32,512,0.51,0.51,0.3,0,0.11,0.35,0.49
71	,1446.TW,宏和,33.5,-0.59,89,0.55,0.57,0.3,0,0.15,0.43,0.58
72	,1447.TW,力鵬,10.05,0,918,0.52,0.55,0.47,0.18,0.27,0.5,0.55
73	,1449.TW,佳和,15.05,0.67,379,0.6,0.54,0.24,0,0.06,0.19,0.56
74	,1451.TW,年興,20.35,-0.25,73,0.46,0.56,0.33,0,0.12,0.42,0.58
75	,1452.TW,宏益,23.6,-0.42,230,0.54,0.55,0.3,0,0.18,0.39,0.56
76	,1453.TW,大將,8.8,0.23,31,0.58,0.49,0.2,0,0,0.25,0.49
77	,1454.TW,台富,11.45,2.23,313,0.45,0.5,0.26,0,0,0.28,0.5
78	,1455.TW,集盛,16.85,-0.3,4463,0.55,0.62,0.47,0,0.35,0.56,0.61
79	,1456.TW,怡華,21.6,2.37,156,0.57,0.5,0.28,0,0.17,0.32,0.47
80	,1457.TW,宜進,18.05,0.56,402,0.51,0.61,0.29,0,0.28,0.4,0.6
81	,1463.TW,強盛,14.6,-1.35,106,0.57,0.55,0.31,0,0.13,0.43,0.56
