符合條件商品
資料日期：2023年  4月 19日
策略,	10主力買比
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力買進比
執行時間：2023-04-19 22:52 符合檔數(396)
1	,1726.TW,永記,74.3,0,59,6.71
2	,6721.TW,信實,51.3,0.2,7,6
3	,5301.TW,寶得利,12.8,9.87,342,5.75
4	,5013.TW,強新,35.8,-1.65,13,5
5	,3284.TW,太普高,15.3,1.66,75,4.75
6	,2540.TW,愛山林,76.2,-4.99,796,4.52
7	,6405.TW,悅城,22.05,-1.56,131,3.55
8	,1454.TW,台富,13.5,-0.37,70,3
9	,4419.TW,元勝,21.6,-3.79,7,3
10	,6023.TW,元大期,51.2,0.2,52,2.94
11	,3055.TW,蔚華科,29.5,-0.51,294,2.9
12	,3709.TW,鑫聯大投控,23.15,0.43,29,2.89
13	,1799.TW,易威,19.8,0,56,2.88
14	,3609.TW,三一東林,42,-2.44,64,2.8
15	,3652.TW,精聯,36.6,9.91,5197,2.75
16	,5210.TW,寶碩,18.8,9.94,1283,2.7
17	,2008.TW,高興昌,19.8,0,18,2.67
18	,2301.TW,光寶科,73.2,-0.54,6302,2.61
19	,3229.TW,晟鈦,19.75,-0.5,19,2.61
20	,1213.TW,大飲,7.37,4.69,51,2.56
21	,2516.TW,新建,5.01,-0.6,257,2.46
22	,6171.TW,大城地產,22.45,0.67,50,2.44
23	,1463.TW,強盛,14.45,0,61,2.44
24	,3694.TW,海華,25.85,1.57,1031,2.44
25	,6655.TW,科定,128,0,36,2.4
26	,5530.TW,龍巖,38.25,0,285,2.38
27	,4128.TW,中天,67.1,0.75,4736,2.31
28	,2392.TW,正崴,43.25,0.7,3379,2.29
29	,3360.TW,尚立,13.85,0.73,62,2.26
30	,2024.TW,志聯,19.3,0.52,56,2.25
31	,3426.TW,台興,39.8,0,10,2.25
32	,5460.TW,同協,11.2,0.45,31,2.2
33	,6204.TW,艾華,58.5,0,13,2.19
34	,8047.TW,星雲,11.9,0,23,2.19
35	,2408.TW,南亞科,67,-0.45,8288,2.16
