符合條件商品
資料日期：2023年  4月 19日
策略,	11主力賣比
序號,	代碼,	商品,	成交,	漲幅%,	總量,	主力賣出比
執行時間：2023-04-19 22:52 符合檔數(588)
110	,2337.TW,旺宏,33.95,-1.02,7391,1.89
111	,2338.TW,光罩,83.6,-1.88,4900,2.17
112	,2340.TW,台亞,37.75,-0.79,2163,1.58
113	,2344.TW,華邦電,25.8,-0.77,14749,1.45
114	,2347.TW,聯強,61.7,-1.12,2452,2.1
115	,2348.TW,海悅,68.2,-0.58,104,1.69
116	,2355.TW,敬鵬,32.8,0.61,875,1.5
117	,2357.TW,華碩,278.5,0,1557,1.63
118	,2358.TW,廷鑫,9.51,-1.14,1206,1.97
119	,2360.TW,致茂,174,-2.25,1805,1.74
120	,2363.TW,矽統,18.05,-1.9,2898,2.46
121	,2364.TW,倫飛,107.5,-2.27,536,1.36
122	,2367.TW,燿華,18.65,-0.27,2338,2.09
123	,2369.TW,菱生,15.5,-1.27,1160,1.5
124	,2371.TW,大同,32.9,-1.2,4707,1.87
125	,2373.TW,震旦行,80.4,-0.5,68,1.38
126	,2380.TW,虹光,10.35,-0.48,871,3.41
127	,2383.TW,台光電,176.5,-3.02,2061,1.43
128	,2393.TW,億光,40.15,-0.62,835,2.07
129	,2395.TW,研華,374,0.81,659,2.08
130	,2401.TW,凌陽,25.3,-1.17,2060,1.39
131	,2409.TW,友達,18.25,-2.67,41228,1.4
132	,2412.TW,中華電,124.5,-1.19,7576,1.77
133	,2424.TW,隴華,22.65,-1.52,25,1.44
134	,2428.TW,興勤,157,-1.88,688,1.4
135	,2439.TW,美律,88.7,-0.89,648,1.88
136	,2440.TW,太空梭,11.7,-0.85,207,1.85
137	,2451.TW,創見,71,-1.8,790,1.9
138	,2453.TW,凌群,77.7,0.78,19128,1.36
139	,2458.TW,義隆,100,-1.48,1226,2.34
140	,2459.TW,敦吉,57.4,0.17,33,1.68
141	,2460.TW,建通,23.85,-4.02,1549,1.69
142	,2464.TW,盟立,37.95,-0.65,190,1.62
143	,2478.TW,大毅,50.1,-0.4,238,1.82
144	,2481.TW,強茂,70.6,-1.4,3012,1.38
145	,2484.TW,希華,37.4,-1.06,2136,1.51
146	,2486.TW,一詮,29.95,-1.64,5099,1.41
147	,2493.TW,揚博,53.6,-1.11,169,1.81
148	,2497.TW,怡利電,75.3,-1.18,2379,1.69
149	,2498.TW,宏達電,61.7,-2.53,15433,1.91
150	,2505.TW,國揚,18.5,0,101,3.09
151	,2506.TW,太設,9.36,-0.32,264,2.2
152	,2509.TW,全坤建,15.3,0.33,52,1.35
153	,2511.TW,太子,11.7,-0.43,669,3.16
154	,2524.TW,京城,31.8,-0.16,62,1.75
155	,2527.TW,宏璟,22.8,-0.22,173,2.02
156	,2534.TW,宏盛,22.4,-1.97,5193,1.58
157	,2535.TW,達欣工,33.75,0.15,2902,2.21
158	,2536.TW,宏普,24.25,-0.41,159,1.98
159	,2537.TW,聯上發,6.98,-0.29,364,1.64
160	,2538.TW,基泰,13.25,-0.75,396,2.09
161	,2545.TW,皇翔,45.8,-0.97,650,1.97
162	,2547.TW,日勝生,9.21,-0.65,698,2.04
163	,2548.TW,華固,93.7,-0.21,339,2.04
164	,2601.TW,益航,9.42,-2.79,7609,1.74
165	,2603.TW,長榮,168,-1.18,19652,2.25
166	,2608.TW,嘉里大榮,38.5,-0.26,161,2.16
167	,2615.TW,萬海,68,-1.45,6520,1.82
168	,2617.TW,台航,32.2,-1.08,893,1.52
169	,2641.TW,正德,19.5,-1.52,1616,2.43
170	,2643.TW,捷迅,73.2,-0.68,79,1.45
171	,2645.TW,長榮航太,118.5,-2.07,6089,1.67
172	,2701.TW,萬企,12.85,0,727,1.57
173	,2755.TW,揚秦,150.5,0.33,311,3.09
174	,2816.TW,旺旺保,15.3,-0.33,136,3.05
175	,2820.TW,華票,15.15,0,559,3.79
176	,2832.TW,台產,21.05,-0.24,123,3.59
177	,2836.TW,高雄銀,12.25,-0.41,578,3.9
178	,2838.TW,聯邦銀,15.95,0.95,1059,1.86
179	,2845.TW,遠東銀,11.15,0,3438,1.83
180	,2850.TW,新產,50.1,-0.6,258,1.48
181	,2851.TW,中再保,18.25,-1.88,2155,2.51
182	,2852.TW,第一保,15.85,0.32,292,2.26
183	,2855.TW,統一證,16.7,-1.76,1181,1.37
184	,2867.TW,三商壽,5.18,0.19,13670,1.65
185	,2883.TW,開發金,13.05,-0.76,15584,2.12
186	,2884.TW,玉山金,25.05,-0.99,16002,1.84
187	,2888.TW,新光金,8.49,-0.35,19513,1.94
188	,2889.TW,國票金,12.35,-1.98,5993,1.71
189	,2891.TW,中信金,22.45,0.22,17479,2.73
190	,2897.TW,王道銀行,10.15,-1.46,10676,1.53
191	,2901.TW,欣欣,24.9,-0.6,11,2.5
192	,2903.TW,遠百,22.25,-1.55,1503,1.88
193	,2904.TW,匯僑,20.55,-0.48,101,2.06
194	,2911.TW,麗嬰房,7.28,0.14,268,1.57
195	,2923.TW,鼎固-KY,22.7,-1.3,31,1.64
196	,2929.TW,淘帝-KY,13.9,-0.71,441,1.65
197	,3002.TW,歐格,12.65,-1.17,440,1.95
198	,3013.TW,晟銘電,23.2,-2.11,7581,1.67
199	,3014.TW,聯陽,89.5,-1,473,1.37
200	,3016.TW,嘉晶,69.5,-0.86,662,1.39
201	,3021.TW,鴻名,22,-1.35,138,1.49
202	,3022.TW,威強電,82.3,-4.41,5910,1.59
203	,3024.TW,憶聲,15.15,1.68,3159,1.44
204	,3025.TW,星通,34.05,-2.16,5456,1.72
205	,3028.TW,增你強,32.6,-0.15,347,1.77
206	,3030.TW,德律,64.7,-0.92,292,1.56
207	,3031.TW,佰鴻,18.85,-0.26,248,1.74
208	,3033.TW,威健,30.65,-0.16,1382,1.78
209	,3034.TW,聯詠,450,-0.22,3673,1.45
210	,3035.TW,智原,188.5,-1.57,7318,1.51
211	,3041.TW,揚智,20.8,-1.65,772,1.79
212	,3042.TW,晶技,87.2,-1.02,1352,1.81
213	,3048.TW,益登,28.65,-0.35,446,1.67
214	,3051.TW,力特,19.55,-1.26,707,2.1
215	,3052.TW,夆典,11.15,-1.33,415,2.54
216	,3054.TW,立萬利,19,0,46,1.94
217	,3056.TW,總太,48.7,-1.72,6019,2.36
218	,3057.TW,喬鼎,12.3,-4.28,1559,2.54
219	,3059.TW,華晶科,35.55,-0.14,1418,1.86
220	,3071.TW,協禧,31.15,-2.66,2708,1.36
221	,3089.TW,億杰,60,-0.5,87,1.41
222	,3090.TW,日電貿,58.1,-1.53,1253,1.49
223	,3105.TW,穩懋,176,-3.3,4085,1.92
224	,3114.TW,好德,27.9,0,126,1.58
225	,3118.TW,進階,31.25,-0.16,43,2.2
226	,3122.TW,笙泉,26.55,-1.85,258,2.3
227	,3130.TW,一零四,208.5,0,12,1.6
228	,3149.TW,正達,18.5,-1.33,669,1.84
229	,3152.TW,璟德,233,-0.43,96,1.35
230	,3163.TW,波若威,57.2,-0.69,2059,1.54
231	,3167.TW,大量,43.4,-1.25,86,1.41
232	,3188.TW,鑫龍騰,14.1,0,158,1.46
233	,3189.TW,景碩,108.5,-3.56,8672,3.45
234	,3202.TW,樺晟,17.95,0.56,658,1.94
235	,3211.TW,順達,77.1,-0.39,246,1.39
236	,3213.TW,茂訊,51.8,-0.19,46,1.68
237	,3221.TW,台嘉碩,30.15,-1.79,4660,1.76
238	,3227.TW,原相,108.5,-0.46,286,1.44
239	,3228.TW,金麗科,179,-0.28,524,1.37
240	,3230.TW,錦明,13.5,-1.82,182,2.86
241	,3259.TW,鑫創,20.6,-0.72,22,1.43
242	,3264.TW,欣銓,56.5,-1.22,4712,1.8
243	,3266.TW,昇陽,12.95,0,86,3.26
244	,3272.TW,東碩,46.3,-1.07,699,1.72
245	,3276.TW,宇環,14.35,0.35,80,1.48
246	,3285.TW,微端,20,0.5,50,2.96
247	,3290.TW,東浦,28.55,-2.23,3340,2.01
248	,3294.TW,英濟,19.15,-0.26,301,1.71
249	,3296.TW,勝德,17.65,-1.67,898,2.31
250	,3297.TW,杭特,19.55,1.3,310,1.4
251	,3306.TW,鼎天,26.8,-1.47,383,1.53
252	,3312.TW,弘憶股,21.7,0,648,1.39
253	,3339.TW,泰谷,13.9,-1.42,137,3.41
254	,3346.TW,麗清,42,-1.18,912,1.66
255	,3356.TW,奇偶,39.55,-2.71,1856,1.38
256	,3363.TW,上詮,34.7,-4.14,23744,1.49
257	,3374.TW,精材,107.5,-2.71,1865,1.48
258	,3379.TW,彬台,12.55,-0.4,58,5.38
259	,3388.TW,崇越電,74.6,-0.27,17,1.44
260	,3406.TW,玉晶光,387.5,-0.64,970,1.49
261	,3413.TW,京鼎,191,-1.55,468,1.55
262	,3430.TW,奇鈦科,51.1,-0.78,290,1.42
263	,3432.TW,台端,13.8,-3.16,1268,2.93
264	,3437.TW,榮創,20.15,-1.71,281,1.48
265	,3438.TW,類比科,61,-1.29,204,1.56
266	,3450.TW,聯鈞,39.5,-1.37,391,1.45
267	,3455.TW,由田,91.2,-1.72,892,1.8
268	,3489.TW,森寶,11.1,-0.45,81,2.32
269	,3490.TW,單井,28.5,1.97,647,1.4
270	,3491.TW,昇達科,177,-1.94,2135,1.47
271	,3494.TW,誠研,7.09,0.28,171,1.36
272	,3498.TW,陽程,35.25,-0.28,87,2.03
273	,3501.TW,維熹,54.3,-1.27,593,1.48
274	,3504.TW,揚明光,84,-3.11,1693,1.55
275	,3508.TW,位速,34.85,-1.69,806,2.3
276	,3511.TW,矽瑪,36.3,-1.36,298,1.47
277	,3516.TW,亞帝歐,18.35,-1.08,219,5.98
278	,3518.TW,柏騰,33.35,3.09,1433,1.42
279	,3526.TW,凡甲,140,-1.75,181,1.45
280	,3529.TW,力旺,2030,-0.25,325,1.42
281	,3530.TW,晶相光,85,-1.85,125,2.39
282	,3531.TW,先益,28.3,-0.35,6,1.67
283	,3532.TW,台勝科,154.5,-2.83,2004,1.71
284	,3535.TW,晶彩科,22.2,-1.11,357,1.59
